"","Unique.Id","indicator_id","geo_type_id","measurement_type_id","internal_id","subtopic_id","name","Measure","geo_type_name","description","geo_entity_id","geo_entity_name","year_description","data_value","lon","lat"
"1","410722",365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",1,"Bronx","Annual Average 2016",7.75,-73.8648268,40.8447819
"2","410725",365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",2,"Brooklyn","Annual Average 2016",7.76,-73.9441579,40.6781784
"3","410728",365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",3,"Manhattan","Annual Average 2016",8.97,-73.9712488,40.7830603
"4","410731",365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",4,"Queens","Annual Average 2016",7.17,-73.7948516,40.7282239
"5","410734",365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",5,"Staten Island","Annual Average 2016",6.84,-74.1502007,40.5795317
"6","410737",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",101,"Kingsbridge - Riverdale","Annual Average 2016",7.5,-73.9024298,40.883563
"7","410740",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",102,"Northeast Bronx","Annual Average 2016",7.55,-73.8648268,40.8447819
"8","410743",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",103,"Fordham - Bronx Pk","Annual Average 2016",7.57,-73.8945473,40.8648137
"9","410746",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",104,"Pelham - Throgs Neck","Annual Average 2016",7.5,-73.8053262,40.8119378
"10","410749",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",105,"Crotona -Tremont","Annual Average 2016",8.18,-73.8904307,40.8462275
"11","410752",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",106,"High Bridge - Morrisania","Annual Average 2016",8.16,-73.9286734,40.8367117
"12","410755",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",107,"Hunts Point - Mott Haven","Annual Average 2016",8.26,-73.9228881,40.8091068
"13","410758",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",201,"Greenpoint","Annual Average 2016",9.46,-73.9515032,40.7304701
"14","410761",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",202,"Downtown - Heights - Slope","Annual Average 2016",8.86,-74.0006686,40.7208595
"15","410764",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",203,"Bedford Stuyvesant - Crown Heights","Annual Average 2016",7.94,-73.9422324,40.6694022
"16","410767",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",204,"East New York","Annual Average 2016",7.8,-73.8759245,40.6590529
"17","410770",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",205,"Sunset Park","Annual Average 2016",8.4,-74.0157776,40.64655
"18","410773",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",206,"Borough Park","Annual Average 2016",7.45,-73.9921028,40.6350319
"19","410776",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",207,"East Flatbush - Flatbush","Annual Average 2016",7.64,-73.9486519,40.639045
"20","410779",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",208,"Canarsie - Flatlands","Annual Average 2016",7.12,-73.9321664,40.6232714
"21","410782",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",209,"Bensonhurst - Bay Ridge","Annual Average 2016",7.11,-74.0298767,40.6263732
"22","410785",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",210,"Coney Island - Sheepshead Bay","Annual Average 2016",6.75,-73.9707016,40.5755438
"23","410788",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",211,"Williamsburg - Bushwick","Annual Average 2016",8.67,-73.9570696,40.7081156
"24","410791",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",301,"Washington Heights","Annual Average 2016",7.81,-73.9393554,40.8417082
"25","410794",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",302,"Central Harlem - Morningside Heights","Annual Average 2016",7.95,-73.9624327,40.8089564
"26","410797",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",303,"East Harlem","Annual Average 2016",8.19,-73.9389213,40.7957399
"27","410800",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",304,"Upper West Side","Annual Average 2016",8.49,-73.9753676,40.7870106
"28","410803",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",305,"Upper East Side","Annual Average 2016",9.07,-73.9565551,40.7735649
"29","410806",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",306,"Chelsea - Clinton","Annual Average 2016",10.32,-73.994137,40.7620382
"30","410809",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",307,"Gramercy Park - Murray Hill","Annual Average 2016",10.76,-73.9844722,40.7367783
"31","410812",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",308,"Greenwich Village - SoHo","Annual Average 2016",9.52,-74.0029883,40.723301
"32","410815",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",309,"Union Square - Lower East Side","Annual Average 2016",9.02,-73.9761295,40.7127869
"33","410818",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",310,"Lower Manhattan","Annual Average 2016",9.53,-74.0006686,40.7208595
"34","410821",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",401,"Long Island City - Astoria","Annual Average 2016",8.65,-73.9234619,40.7643574
"35","410824",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",402,"West Queens","Annual Average 2016",8.14,-73.7529749,40.7772409
"36","410827",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",403,"Flushing - Clearview","Annual Average 2016",7.22,-73.777482,40.7593085
"37","410830",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",404,"Bayside - Little Neck","Annual Average 2016",6.88,-73.739473,40.7669896
"38","410833",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",405,"Ridgewood - Forest Hills","Annual Average 2016",7.56,-73.8442894,40.7219087
"39","410836",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",406,"Fresh Meadows","Annual Average 2016",7.03,-73.7801447,40.7335179
"40","410839",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",407,"Southwest Queens","Annual Average 2016",7.02,-73.7948516,40.7282239
"41","410842",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",408,"Jamaica","Annual Average 2016",6.99,-73.7889689,40.702677
"42","410845",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",409,"Southeast Queens","Annual Average 2016",6.51,-73.8398084,40.6572736
"43","410848",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",410,"Rockaways","Annual Average 2016",5.98,-73.7977928,40.592658
"44","410851",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",501,"Port Richmond","Annual Average 2016",7.3,-74.1254641,40.6354914
"45","410854",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",502,"Stapleton - St. George","Annual Average 2016",6.8,-74.0783714,40.6270496
"46","410857",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",503,"Willowbrook","Annual Average 2016",7.1,-74.1384762,40.6031598
"47","410860",365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",504,"South Beach - Tottenville","Annual Average 2016",6.59,-74.0668076,40.5903824
"48","410863",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",101,"Kingsbridge - Riverdale","Annual Average 2016",7.5,-73.9024298,40.883563
"49","410866",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",102,"Northeast Bronx","Annual Average 2016",7.55,-73.8648268,40.8447819
"50","410869",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",103,"Fordham - Bronx Pk","Annual Average 2016",7.57,-73.8945473,40.8648137
"51","410872",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",104,"Pelham - Throgs Neck","Annual Average 2016",7.5,-73.8053262,40.8119378
"52","410875",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",201,"Greenpoint","Annual Average 2016",9.46,-73.9515032,40.7304701
"53","410878",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",202,"Downtown - Heights - Slope","Annual Average 2016",8.86,-74.0006686,40.7208595
"54","410881",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",203,"Bedford Stuyvesant - Crown Heights","Annual Average 2016",7.94,-73.9422324,40.6694022
"55","410884",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",204,"East New York","Annual Average 2016",7.8,-73.8759245,40.6590529
"56","410887",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",205,"Sunset Park","Annual Average 2016",8.4,-74.0157776,40.64655
"57","410890",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",206,"Borough Park","Annual Average 2016",7.45,-73.9921028,40.6350319
"58","410893",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",207,"East Flatbush - Flatbush","Annual Average 2016",7.64,-73.9486519,40.639045
"59","410896",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",208,"Canarsie - Flatlands","Annual Average 2016",7.12,-73.9321664,40.6232714
"60","410899",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",209,"Bensonhurst - Bay Ridge","Annual Average 2016",7.11,-74.0298767,40.6263732
"61","410902",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",210,"Coney Island - Sheepshead Bay","Annual Average 2016",6.75,-73.9707016,40.5755438
"62","410905",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",211,"Williamsburg - Bushwick","Annual Average 2016",8.67,-73.9570696,40.7081156
"63","410908",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",301,"Washington Heights","Annual Average 2016",7.81,-73.9393554,40.8417082
"64","410911",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",302,"Central Harlem - Morningside Heights","Annual Average 2016",7.95,-73.9624327,40.8089564
"65","410914",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",303,"East Harlem","Annual Average 2016",8.19,-73.9389213,40.7957399
"66","410917",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",304,"Upper West Side","Annual Average 2016",8.49,-73.9753676,40.7870106
"67","410920",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",401,"Long Island City - Astoria","Annual Average 2016",8.65,-73.9234619,40.7643574
"68","410923",365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",402,"West Queens","Annual Average 2016",8.14,-73.7529749,40.7772409
