"","short_name","long_name","Community.District","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","addresss","lon","lat"
"1","rent_asking_med","Median rent, asking","BK 04 - Bushwick",1600,1695,1950,2295,2400,2500,2599,2525,"Bushwick",-73.9170604,40.6957755
"2","rent_asking_med","Median rent, asking","BK 05 - East New York/Starrett City",NA,NA,1350,1500,1597.5,1750,1900,2000,"East New York/Starrett City",-73.8744337,40.6591527
"3","rent_asking_med","Median rent, asking","BK 06 - Park Slope/Carroll Gardens",2300,2500,2700,2750,2800,2895,2900,2800,"Park Slope/Carroll Gardens",-73.9813228,40.6751578
"4","rent_asking_med","Median rent, asking","BK 07 - Sunset Park",1600,1700,1800,1850,1900,2050,2100,2375,"Sunset Park",-74.0157776,40.64655
"5","rent_asking_med","Median rent, asking","BK 08 - Crown Heights/Prospect Heights",1869,1900,2100,2300,2385,2490,2500,2499,"Crown Heights/Prospect Heights",-73.9417737,40.673864
"6","rent_asking_med","Median rent, asking","BK 09 - South Crown Heights/Lefferts Gardens",1475,1500,1650,1800,1750,1700,2022,2175,"South Crown Heights/Lefferts Gardens",-73.9425224,40.6658465
"7","rent_asking_med","Median rent, asking","BK 10 - Bay Ridge/Dyker Heights",1412.5,1500,1600,1600,1700,1800,2000,1900,"Bay Ridge/Dyker Heights",-74.009584,40.6214932
"8","rent_asking_med","Median rent, asking","BK 11 - Bensonhurst",1325,1300,1350,1400,1500,1650,1785,1750,"Bensonhurst",-73.9921833,40.6139307
"9","rent_asking_med","Median rent, asking","BK 12 - Borough Park",1575,1600,1600,1750,1800,1875,2000,1950,"Borough Park",-73.9921028,40.6350319
"10","rent_asking_med","Median rent, asking","BK 13 - Coney Island",1337.5,1300,1500,1500,1600,1800,1850,1995,"Coney Island",-73.9707016,40.5755438
"11","rent_asking_med","Median rent, asking","BK 14 - Flatbush/Midwood",1750,1500,1500,1500,1650,1800,1850,1925,"Flatbush/Midwood",-73.9604036,40.6596141
"12","rent_asking_med","Median rent, asking","BK 15 - Sheepshead Bay",1650,1550,1500,1528.5,1600,1650,1750,1800,"Sheepshead Bay",-73.9457538,40.5953955
"13","rent_asking_med","Median rent, asking","BK 16 - Brownsville",NA,NA,NA,1400,1400,1575,1650,2150,"Brownsville",-97.4974838,25.9017472
"14","rent_asking_med","Median rent, asking","BK 17 - East Flatbush",1625,NA,1272.5,1475,1400,1500,1675,1900,"East Flatbush",-73.9299899,40.6481656
"15","rent_asking_med","Median rent, asking","BK 18 - Flatlands/Canarsie",NA,1500,1575,1500,1600,1712.5,1800,1850,"Flatlands/Canarsie",-73.9032937,40.6419051
"16","rent_asking_med","Median rent, asking","QN 01 - Astoria",1700,1900,2500,2200,2150,2200,2250,2200,"Astoria",-123.8312534,46.1878841
"17","rent_asking_med","Median rent, asking","QN 02 - Woodside/Sunnyside",2450,2600,2800,2675,2595,2356,2475,2423,"Woodside/Sunnyside",-73.9196993,40.7392246
"18","rent_asking_med","Median rent, asking","QN 03 - Jackson Heights",1397.5,1450,1587.5,1600,1700,1775,1875,1850,"Jackson Heights",-73.8830701,40.7556818
"19","rent_asking_med","Median rent, asking","QN 04 - Elmhurst/Corona",1150,1150,1800,1750,1550,1675,1800,1850,"Elmhurst/Corona",-73.8769492,40.748174
"20","rent_asking_med","Median rent, asking","QN 05 - Ridgewood/Maspeth",1500,1500,2000,1795,1850,2100,2100,2300,"Ridgewood/Maspeth",-73.899311,40.711307
"21","rent_asking_med","Median rent, asking","QN 06 - Rego Park/Forest Hills",1600,1795,1825,1800,1875,2000,2100,2000,"Rego Park/Forest Hills",-73.848974,40.731133
"22","rent_asking_med","Median rent, asking","QN 07 - Flushing/Whitestone",1550,1605,1600,1700,1800,1850,1950,2063,"Flushing/Whitestone",-73.833079,40.7674987
"23","rent_asking_med","Median rent, asking","QN 08 - Hillcrest/Fresh Meadows",1400,1400,1550,1600,1675,1699.5,1750,1800,"Hillcrest/Fresh Meadows",-73.7819243,40.7292565
